year,week,date,provincia,calls,latitude,longitude
2017,2,2017-01-21,Palermo,2,38.1112268,13.3524434
2017,4,2017-02-04,Palermo,5,38.1112268,13.3524434
2017,5,2017-02-11,Palermo,2,38.1112268,13.3524434
2017,7,2017-02-25,Palermo,4,38.1112268,13.3524434
2017,8,2017-03-04,Palermo,1,38.1112268,13.3524434
2017,10,2017-03-18,Palermo,3,38.1112268,13.3524434
2017,11,2017-03-25,Palermo,3,38.1112268,13.3524434
2017,12,2017-04-01,Palermo,2,38.1112268,13.3524434
2017,13,2017-04-08,Palermo,1,38.1112268,13.3524434
2017,14,2017-04-15,Palermo,1,38.1112268,13.3524434
2017,15,2017-04-22,Palermo,1,38.1112268,13.3524434
2017,16,2017-04-29,Palermo,3,38.1112268,13.3524434
2017,17,2017-05-06,Palermo,2,38.1112268,13.3524434
2017,18,2017-05-13,Palermo,2,38.1112268,13.3524434
2017,19,2017-05-20,Palermo,2,38.1112268,13.3524434
2017,20,2017-05-27,Palermo,1,38.1112268,13.3524434
2017,21,2017-06-03,Palermo,1,38.1112268,13.3524434
2017,22,2017-06-10,Palermo,5,38.1112268,13.3524434
2017,23,2017-06-17,Palermo,2,38.1112268,13.3524434
2017,24,2017-06-24,Palermo,2,38.1112268,13.3524434
